Top Left X (Ft),Top Left Y (Ft),Width (Ft),Height (Ft),Name,Type,Top Left X (Ind),Top Left Y (Ind),Width (Ind),Height (Ind)
621,6,12,1.5,BILTMORE CORNER,SIDEWALK,414,4,8,1
619.5,7.5,13.5,3,BILTMORE CORNER,SIDEWALK,413,5,9,2
618,10.5,15,1.5,BILTMORE CORNER,SIDEWALK,412,7,10,1
616.5,12,16.5,3,BILTMORE CORNER,SIDEWALK,411,8,11,2
615,15,18,252,BILTMORE CORNER,SIDEWALK,410,10,12,168
483,141,1.5,18,BILTMORE CORNER,SIDEWALK,322,94,1,12
484.5,139.5,1.5,19.6,BILTMORE CORNER,SIDEWALK,323,93,1,13
486,138,1.5,21,BILTMORE CORNER,SIDEWALK,324,92,1,14
487.5,135,1.5,24,BILTMORE CORNER,SIDEWALK,325,90,1,16
489,133.5,1.5,25.5,BILTMORE CORNER,SIDEWALK,326,89,1,17
490.5,132,1.5,27,BILTMORE CORNER,SIDEWALK,327,88,1,18
492,132,58.5,19.5,BILTMORE CORNER,SIDEWALK,328,88,39,13
550.5,132,12,7.5,BILTMORE CORNER,SIDEWALK,367,88,8,5
562.5,133.5,3,6,BILTMORE CORNER,SIDEWALK,375,89,2,4
565.5,135,1.5,4.6,BILTMORE CORNER,SIDEWALK,377,90,1,3
567,136.5,1.5,3,BILTMORE CORNER,SIDEWALK,378,91,1,2
550.5,139.5,19.5,126,BILTMORE CORNER,SIDEWALK,367,93,13,84
460.5,159,31.5,180,BILTMORE CORNER,SIDEWALK,307,106,21,120
492,265.5,57,73.5,5th ST CORNER,SIDEWALK,328,177,38,49
549,265.5,21,72,5th ST CORNER,SIDEWALK,366,177,14,48
549,337.5,10.5,105,5th ST CORNER,SIDEWALK,366,225,7,70
559.5,337.5,1.5,7.5,5th ST CORNER,SIDEWALK,373,225,1,5
561,337.5,1.5,6,5th ST CORNER,SIDEWALK,374,225,1,4
562.5,337.5,3,4.5,5th ST CORNER,SIDEWALK,375,225,2,3
565.5,337.5,1.5,3,5th ST CORNER,SIDEWALK,377,225,1,2
567,337.5,1.5,1.5,5th ST CORNER,SIDEWALK,378,225,1,1
616.5,267,6,3,5th ST CORNER,SIDEWALK,411,178,4,2
618,270,4.5,1.5,5th ST CORNER,SIDEWALK,412,180,3,1
619.5,271.5,3,1.5,5th ST CORNER,SIDEWALK,413,181,2,1
622.5,267,10.5,1.5,5th ST CORNER,SIDEWALK,415,178,7,1
622.5,268.5,94.5,6,5th ST CORNER,SIDEWALK,415,179,63,4
615,312,1.5,21,5th ST CORNER,SIDEWALK,410,208,1,14
616.5,309,1.5,24,5th ST CORNER,SIDEWALK,411,206,1,16
618,307.5,1.5,25.5,5th ST CORNER,SIDEWALK,412,205,1,17
619.5,306,3,27,5th ST CORNER,SIDEWALK,413,204,2,18
622.5,304.5,16.5,28.5,5th ST CORNER,SIDEWALK,415,203,11,19
639,304.5,76.5,13.5,5th ST CORNER,SIDEWALK,426,203,51,9
628.5,333,10.5,370.5,5th ST CORNER,SIDEWALK,419,222,7,247
559.5,408,1.5,34.5,SE CORNER,SIDEWALK,373,272,1,23
561,409.5,1.5,33,SE CORNER,SIDEWALK,374,273,1,22
562.5,411,3,31.5,SE CORNER,SIDEWALK,375,274,2,21
565.5,412.5,1.5,30,SE CORNER,SIDEWALK,377,275,1,20
567,412.5,1.5,28.5,SE CORNER,SIDEWALK,378,275,1,19
568.5,414,1.5,27,SE CORNER,SIDEWALK,379,276,1,18
570,415.5,1.5,24,SE CORNER,SIDEWALK,380,277,1,16
571.5,415.5,1.5,22.5,SE CORNER,SIDEWALK,381,277,1,15
573,417,1.5,18,SE CORNER,SIDEWALK,382,278,1,12
565.5,468,1.5,7.5,SE CORNER,SIDEWALK,377,312,1,5
567,496.5,3,6,SE CORNER,SIDEWALK,378,331,2,4
570,471,1.5,4.5,SE CORNER,SIDEWALK,380,314,1,3
571.5,472.5,1.5,3,SE CORNER,SIDEWALK,381,315,1,2
565.5,475.5,9,244.5,SE CORNER,SIDEWALK,377,317,6,163
567,720,3,9,SE CORNER,SIDEWALK,378,480,2,6
570,720,1.5,7.5,SE CORNER,SIDEWALK,380,480,1,5
571.5,720,1.5,6,SE CORNER,SIDEWALK,381,480,1,4
573,720,1.5,3,SE CORNER,SIDEWALK,382,480,1,2
615,703.5,27,27,SE CORNER,SIDEWALK,410,469,18,18
642,703.5,73.5,19.5,SE CORNER,SIDEWALK,428,469,49,13
0,90,88.5,51,B&N CORNER,ROAD,0,60,59,34
88.5,91.5,1.5,49.5,B&N CORNER,ROAD,59,61,1,33
90,93,1.5,48,B&N CORNER,ROAD,60,62,1,32
91.5,94.5,1.5,45,B&N CORNER,ROAD,61,63,1,30
93,97.5,1.5,40.6,B&N CORNER,ROAD,62,65,1,27
94.5,99,1.5,36,B&N CORNER,ROAD,63,66,1,24
96,100.5,1.5,33,B&N CORNER,ROAD,64,67,1,22
97.5,100.5,1.5,31.5,B&N CORNER,ROAD,65,67,1,21
99,100.5,18,30,B&N CORNER,ROAD,66,67,12,20
130.5,0,40.5,78,B&N CORNER,ROAD,87,0,27,52
127.5,97.5,1.5,37.5,B&N CORNER,ROAD,85,65,1,25
129,93,1.5,40.5,B&N CORNER,ROAD,86,62,1,27
130.5,88.5,40.5,45,B&N CORNER,ROAD,87,59,27,30
171,97.5,1.5,36,B&N CORNER,ROAD,114,65,1,24
172.5,99,1.5,34.5,B&N CORNER,ROAD,115,66,1,23
174,100.5,3,33,B&N CORNER,ROAD,116,67,2,22
177,100.5,381,31.5,B&N CORNER,ROAD,118,67,254,21
202.5,132,1.5,1.5,RAY LINE,ROAD,135,88,1,1
204,132,1.5,3,RAY LINE,ROAD,136,88,1,2
205.5,132,1.5,4.5,RAY LINE,ROAD,137,88,1,3
207,132,1.5,7.5,RAY LINE,ROAD,138,88,1,5
208.5,132,1.5,9,RAY LINE,ROAD,139,88,1,6
210,132,273,10.5,RAY LINE,ROAD,140,88,182,7
483,132,1.5,9,RAY LINE,ROAD,322,88,1,6
484.5,132,1.5,7.5,RAY LINE,ROAD,323,88,1,5
486,132,1.5,6,RAY LINE,ROAD,324,88,1,4
487.5,132,1.5,3,RAY LINE,ROAD,325,88,1,2
489,132,1.5,1.5,RAY LINE,ROAD,326,88,1,1
130.5,144,39,285,HOTEL BLOCK,ROAD,87,96,26,190
121.5,165,1.5,1.5,HOTEL BLOCK,ROAD,81,110,1,1
123,163.5,3,3,HOTEL BLOCK,ROAD,82,109,2,2
126,162,1.5,4.5,HOTEL BLOCK,ROAD,84,108,1,3
127.5,160.5,1.5,6,HOTEL BLOCK,ROAD,85,107,1,4
129,159,1.5,7.5,HOTEL BLOCK,ROAD,86,106,1,5
120,166.5,10.5,160.5,HOTEL BLOCK,ROAD,80,111,7,107
121.5,327,1.5,1.5,HOTEL BLOCK,ROAD,81,218,1,1
123,327,7.5,3,HOTEL BLOCK,ROAD,82,218,5,2
126,330,1.5,1.5,HOTEL BLOCK,ROAD,84,220,1,1
127.5,330,3,3,HOTEL BLOCK,ROAD,85,220,2,2
129,333,1.5,1.5,HOTEL BLOCK,ROAD,86,222,1,1
169.5,157.5,1.5,3,HOTEL BLOCK,ROAD,113,105,1,2
171,159,1.5,1.5,HOTEL BLOCK,ROAD,114,106,1,1
169.5,160.5,6,4.5,HOTEL BLOCK,ROAD,113,107,4,3
175.5,162,1.5,3,HOTEL BLOCK,ROAD,117,108,1,2
177,163.5,1.5,1.5,HOTEL BLOCK,ROAD,118,109,1,1
169.5,165,10.5,240,HOTEL BLOCK,ROAD,113,110,7,160
169.5,405,6,4.5,HOTEL BLOCK,ROAD,113,270,4,3
175.5,405,1.5,3,HOTEL BLOCK,ROAD,117,270,1,2
177,405,1.5,1.5,HOTEL BLOCK,ROAD,118,270,1,1
169.5,409.5,3,1.5,HOTEL BLOCK,ROAD,113,273,2,1
169.5,411,1.5,1.5,HOTEL BLOCK,ROAD,113,274,1,1
121.5,327,1.5,1.5,HOTEL BLOCK,ROAD,81,218,1,1
123,327,7.5,3,HOTEL BLOCK,ROAD,82,218,5,2
126,330,1.5,1.5,HOTEL BLOCK,ROAD,84,220,1,1
127.5,330,3,3,HOTEL BLOCK,ROAD,85,220,2,2
129,333,1.5,1.5,HOTEL BLOCK,ROAD,86,222,1,1
130.5,439.5,40.5,36,BUILDING BLOCK,ROAD,87,293,27,24
171,439.5,1.5,33,BUILDING BLOCK,ROAD,114,293,1,22
130.5,475.5,39,255,BUILDING BLOCK,ROAD,87,317,26,170
129,498,1.5,1.5,BUILDING BLOCK,ROAD,86,332,1,1
127.5,499.5,3,6,BUILDING BLOCK,ROAD,85,333,2,4
126,501,1.5,1.5,BUILDING BLOCK,ROAD,84,334,1,1
123,502.5,4.5,3,BUILDING BLOCK,ROAD,82,335,3,2
121.5,504,1.5,1.5,BUILDING BLOCK,ROAD,81,336,1,1
120,505.5,10.5,177,BUILDING BLOCK,ROAD,80,337,7,118
121.5,682.5,1.5,1.5,BUILDING BLOCK,ROAD,81,455,1,1
123,682.5,4.5,3,BUILDING BLOCK,ROAD,82,455,3,2
126,685.5,1.5,1.5,BUILDING BLOCK,ROAD,84,457,1,1
127.5,682.5,3,6,BUILDING BLOCK,ROAD,85,455,2,4
129,688.5,1.5,1.5,BUILDING BLOCK,ROAD,86,459,1,1
129,723,1.5,3,BUILDING BLOCK,ROAD,86,482,1,2
127.5,726,3,4.5,BUILDING BLOCK,ROAD,85,484,2,3
126,727.5,1.5,3,BUILDING BLOCK,ROAD,84,485,1,2
123,729,1.5,3,BUILDING BLOCK,ROAD,82,486,1,2
169.5,723,1.5,3,BUILDING BLOCK,ROAD,113,482,1,2
169.5,726,3,4.5,BUILDING BLOCK,ROAD,113,484,2,3
172.5,727.5,1.5,3,BUILDING BLOCK,ROAD,115,485,1,2
174,729,3,1.5,BUILDING BLOCK,ROAD,116,486,2,1
,,,,,,0,0,0,0
,,,,,,0,0,0,0
,,,,,,0,0,0,0
,,,,,,0,0,0,0
,,,,,,0,0,0,0
,,,,,,0,0,0,0
,,,,,,0,0,0,0
,,,,,,0,0,0,0
,,,,,,0,0,0,0
,,,,,,0,0,0,0
,,,,,,0,0,0,0
,,,,,,0,0,0,0
,,,,,,0,0,0,0
,,,,,,0,0,0,0
,,,,,,0,0,0,0
,,,,,,0,0,0,0
,,,,,,0,0,0,0
,,,,,,0,0,0,0
,,,,,,0,0,0,0
,,,,,,0,0,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
